Date,Open,High,Low,Close,Volume
1984-09-07,0.0996047,0.100827,0.0984022,0.0996047,98811715
1984-09-10,0.0996047,0.0999102,0.0972099,0.0990135,76694011
1984-09-11,0.0999102,0.10262,0.0999102,0.100827,180849030
1984-09-12,0.100827,0.101417,0.0977914,0.0977914,157987052
1984-09-13,0.103232,0.103526,0.103232,0.103232,246058991
1984-09-14,0.103526,0.107124,0.103526,0.10472,292979204
1984-09-17,0.10744,0.108938,0.10744,0.10744,228752925
1984-09-18,0.10744,0.108327,0.103526,0.103526,115479713
1984-09-19,0.103526,0.10472,0.101417,0.101417,126139774
1984-09-20,0.101714,0.10262,0.101714,0.101714,78528344
1984-09-21,0.101714,0.10472,0.0996047,0.100827,118483606
1984-09-24,0.100827,0.101417,0.0999102,0.0999102,93760833
1984-09-25,0.0996047,0.0996047,0.0977914,0.0977914,197942428
1984-09-26,0.0977914,0.102304,0.0966086,0.0966086,131695788
1984-09-27,0.0966086,0.0972099,0.0966086,0.0966086,125714430
1984-09-28,0.0966086,0.0966086,0.0923906,0.0941941,277002379
1984-10-01,0.0939084,0.0939084,0.0920853,0.0920853,116037950
1984-10-02,0.0926865,0.0959978,0.0926865,0.0926865,140335434
1984-10-03,0.0941941,0.0956921,0.0941941,0.0941941,142914116
1984-10-04,0.0953768,0.0959978,0.0953768,0.0953768,148922026
1984-10-05,0.0953768,0.0953768,0.0926865,0.0932972,115798724
1984-10-08,0.0932972,0.0939084,0.0932972,0.0932972,55746084
1984-10-09,0.0932972,0.0939084,0.0923906,0.0923906,148656171
1984-10-10,0.0923906,0.0923906,0.0896707,0.0896707,432995672
1984-10-11,0.0896707,0.0920853,0.0890794,0.0890794,216896606
1984-10-12,0.0890794,0.0896707,0.0845459,0.0851571,315442482
1984-10-15,0.0899665,0.0908731,0.0899665,0.0899665,288699227
1984-10-16,0.0899665,0.0902817,0.0896707,0.0896707,140069672
1984-10-17,0.0932972,0.0939084,0.0932972,0.0932972,185900013
1984-10-18,0.0959978,0.0966086,0.0959978,0.0959978,293324793
1984-10-19,0.0959978,0.10262,0.0956921,0.0959978,387032462
1984-10-22,0.0959978,0.0974956,0.0953768,0.0953768,136188449
1984-10-23,0.0974956,0.0984022,0.0974956,0.0974956,221256360
1984-10-24,0.0984022,0.0996047,0.0984022,0.0984022,198208267
1984-10-25,0.0984022,0.0984022,0.0948052,0.0948052,187707720
1984-10-26,0.0948052,0.0948052,0.0920853,0.0923906,136294736
1984-10-29,0.0926865,0.0932972,0.0926865,0.0926865,60105810
1984-10-30,0.0939084,0.0948052,0.0939084,0.0939084,88523813
1984-10-31,0.0939084,0.0948052,0.0932972,0.0932972,71483650
1984-11-01,0.0939084,0.0948052,0.0939084,0.0939084,55825803
1984-11-02,0.0939084,0.0941941,0.0926865,0.0932972,32857483
1984-11-05,0.0932972,0.0953768,0.0926865,0.0926865,125049852
1984-11-06,0.0984022,0.0990135,0.0984022,0.0984022,267405694
1984-11-07,0.0984022,0.0990135,0.0966086,0.0966086,274795947
1984-11-08,0.0966086,0.0966086,0.0926865,0.0926865,104580361
1984-11-09,0.0926865,0.0932972,0.0863791,0.0872857,349070913
1984-11-12,0.0902817,0.0908731,0.0902817,0.0902817,134407301
1984-11-13,0.0902817,0.0923906,0.0881925,0.0881925,150330987
1984-11-14,0.0890794,0.0899665,0.0890794,0.0890794,123826930
1984-11-15,0.0890794,0.0899665,0.0890794,0.0890794,126511907
1984-11-16,0.0890794,0.0902817,0.0866846,0.0872857,196719590
1984-11-19,0.0872857,0.0878871,0.0821514,0.0821514,276497281
1984-11-20,0.0848515,0.0851571,0.0848515,0.0848515,312411898
1984-11-21,0.0866846,0.0872857,0.0866846,0.0866846,212111512
1984-11-23,0.0878871,0.0902817,0.0878871,0.0890794,162692345
1984-11-26,0.0899665,0.0899665,0.0899665,0.0899665,119440706
1984-11-27,0.0923906,0.0932972,0.0923906,0.0923906,151208207
1984-11-28,0.0972099,0.0996047,0.0972099,0.0972099,487199957
1984-11-29,0.0972099,0.0972099,0.0953768,0.0953768,207539176
1984-11-30,0.0953768,0.0959978,0.0923906,0.0926865,129010838
1984-12-03,0.0926865,0.0932972,0.0914741,0.0914741,116303790
1984-12-04,0.0932972,0.0953768,0.0932972,0.0932972,142860926
1984-12-05,0.0977914,0.0977914,0.0977914,0.0977914,312013193
1984-12-06,0.10262,0.103232,0.10262,0.10262,376531913
1984-12-07,0.10262,0.106532,0.101714,0.102304,586888829
1984-12-10,0.102304,0.102304,0.100227,0.100227,132307178
1984-12-11,0.100227,0.101714,0.0990135,0.0990135,146901641
1984-12-12,0.0990135,0.0990135,0.0956921,0.0956921,130632454
1984-12-13,0.0966086,0.0984022,0.0966086,0.0966086,79325807
1984-12-14,0.0966086,0.0999102,0.0966086,0.0990135,114097358
1984-12-17,0.101417,0.102304,0.101417,0.101417,148629630
1984-12-18,0.10744,0.107734,0.10744,0.10744,404178905
1984-12-19,0.10744,0.107734,0.103232,0.103232,376797728
1984-12-20,0.103232,0.105014,0.10262,0.10262,165962191
1984-12-21,0.10262,0.103232,0.100227,0.101417,147034569
1984-12-24,0.103232,0.103526,0.103232,0.103232,80149941
1984-12-26,0.103526,0.10472,0.103526,0.103526,79724620
1984-12-27,0.104127,0.10472,0.104127,0.104127,117207627
1984-12-28,0.104127,0.108327,0.103526,0.107734,196214457
1984-12-31,0.109243,0.109845,0.109243,0.109243,246564036
1985-01-02,0.109243,0.109243,0.10472,0.10472,208044170
1985-01-03,0.106532,0.109243,0.106532,0.106532,197729684
1985-01-04,0.106532,0.107124,0.105014,0.106532,162905027
1985-01-07,0.106532,0.107124,0.105932,0.105932,202833850
1985-01-08,0.105932,0.107124,0.105014,0.105014,167477405
1985-01-09,0.107734,0.109243,0.107734,0.107734,197862703
1985-01-10,0.112544,0.112849,0.112544,0.112544,328814104
1985-01-11,0.112544,0.113482,0.110447,0.111647,243347431
1985-01-14,0.114644,0.115844,0.114644,0.114644,320945240
1985-01-15,0.114644,0.116762,0.112544,0.112544,314458860
1985-01-16,0.113482,0.115273,0.113482,0.113482,225350235
1985-01-17,0.113482,0.115273,0.105321,0.105321,649785894
1985-01-18,0.105321,0.109845,0.105014,0.10744,418534176
1985-01-21,0.109845,0.110447,0.109845,0.109845,386208347
1985-01-22,0.112849,0.113482,0.112849,0.112849,504186951
1985-01-23,0.112849,0.113482,0.111038,0.111038,510912665
1985-01-24,0.111038,0.111038,0.108938,0.108938,471223042
1985-01-25,0.108938,0.111038,0.106532,0.111038,377940821
1985-01-28,0.113482,0.114644,0.113482,0.113482,489167070
1985-01-29,0.113482,0.114375,0.112228,0.112228,265518286
1985-01-30,0.112228,0.114375,0.112228,0.112228,584416625
1985-01-31,0.112228,0.112544,0.108938,0.108938,327830515
1985-02-01,0.108938,0.109243,0.106532,0.10744,163463335
1985-02-04,0.109845,0.110159,0.109845,0.109845,258739329
1985-02-05,0.110447,0.112544,0.110447,0.110447,225536301
1985-02-06,0.112544,0.112544,0.112544,0.112544,230746675
1985-02-07,0.112544,0.114053,0.112228,0.112228,291331022
1985-02-08,0.112228,0.112544,0.110447,0.112228,156684451
1985-02-11,0.114375,0.115273,0.114375,0.114375,411755265
1985-02-12,0.114375,0.114644,0.111647,0.111647,268814630
1985-02-13,0.111647,0.111647,0.106532,0.106532,625461830
1985-02-14,0.106532,0.10744,0.103526,0.103526,506552800
1985-02-15,0.103526,0.105321,0.10262,0.105014,206050426
1985-02-19,0.10472,0.10472,0.103526,0.103526,177818478
1985-02-20,0.103526,0.104127,0.0990135,0.0990135,261052179
1985-02-21,0.100827,0.101417,0.100827,0.100827,365792067
1985-02-22,0.100827,0.10472,0.100827,0.103526,268841187
1985-02-25,0.103526,0.104127,0.102304,0.102304,116941775
1985-02-26,0.102304,0.10262,0.100227,0.100227,224260257
